Review,Date posted,Reference url
"lazza writes...really? what's wrong with it? which model do you have?I have the prior generation, it spent more time at the dealer than it did at my home in the first couple years. First major failure was transmission at 20k. Transmission replaced again shortly after. Now genuinely looking to get rid of it for a well known engine issue before it blows. Car has done 47kBought the wife a Toyota for work last year, early days but zero issues with it. Completely different experience from the Mazda. I say Consumer Reports average rating for Mazda reliability is spot on from my experience.",2018-Oct-6,whrl.pl/Rfe0gc
Wow thanks for the tip. have they fixed all the issues in the current generation model?,2018-Oct-6,whrl.pl/Rfe0ir
"lazza writes...have they fixed all the issues in the current generation model?My opinion is that yes reliability has certainly got better, but Mazda reliability is still a bit hit and miss. Exactly the rating Consumer reports have given. (Bottom of the Japanese brands)Buying a first model year of the Rav redesign will also have a few issues no doubt, but given Toyotas track record i doubt anything like catastrophic engine/transmission failure.",2018-Oct-6,whrl.pl/Rfe0jP
"Haylonix writes...genuinely looking to get rid of it for a well known engine issue before it blows. Car has done 47kWhich is? Wife’s 2016 Cx5 has 59k on it, been melb-Queensland twice and never had a single issue?",2018-Oct-7,whrl.pl/Rfe13m
"lazza writes...Wow thanks for the tip. have they fixed all the issues in the current generation model?There are no major frequent issues. KE CX5 had some diesel issues when they first came out, but essentially petrol versions are Mazda 3s on stilts which has a PROVEN trach record of reliability.The above poster has had some bad luck with his/her which is very uncommon. Don’t let that be a deterrent.And the new KF CX5 is essentially a new dress. Under the bonnet has hardly changed- a few tweaks here and there.The RAV 4 will be good, but Toyota are about the only  jap company that are behind or lacking in most safety tech. Base models lack a lot compared to rivals and are usually severely over priced for what you get. And of course coupled with a CVT which is a different “drive feel” compared to a regular auto.I’d still consider it, but definitely compare kit with the Mazda if you like them.",2018-Oct-7,whrl.pl/Rfe14v
"F55Coops writes...I’d still consider it, but definitely compare kit with the Mazda if you like themAnd then Mazda has the 2.5l turbo coming out soon too.",2018-Oct-7,whrl.pl/Rfe15c
it would be good if they offered a 2.5L FWD version of the RAV 4 in Aus. having a AWD version is kind of pointless in the suburbs.Take for example the x-trail or outlander.also the RAV 4 is over priced for what it is too.,2018-Oct-7,whrl.pl/Rfe15o
InternalBleeding writes...it would be good if they offered a 2.5L FWD version of the RAV 4 in Aus.The hybrid I think has electric motors at the rear and engages it as needed I think,2018-Oct-7,whrl.pl/Rfe15K
Details of engines for Australia. Bet hybrid will be a smash hithttps://www.caradvice.com.au/701237/2019-toyota-rav4-engine-australia/,2018-Nov-9,whrl.pl/Rfgeoe
Bello writes...Bet hybrid will be a smash hitI've heard great things about the hybrid. The 2.5 looks like it packs a lot more punch than the outgoing model. And the 2L is decent too for those that want a manual (I also wish they'd make the large engine size in manual).Ticks a lot of boxes for me.,2018-Nov-9,whrl.pl/RfgeBT
Am also looking at the CX-5 vs RAV4 now. Toyota just seems so much more reliable.Really hope the hybrid is under 50k,2018-Nov-12,whrl.pl/RfglNk
152kw for a NA 2.5 litre engine is quite impressive. I know why the hybrid going to be a hit. The electric drive down to the rear wheels.,2018-Nov-12,whrl.pl/RfglPJ
DJSIEK writes...Really hope the hybrid is under 50kToyota will do the same thing they've done with new gen Camry (with exception of Camry SX) and Corolla – offer the hybrid drivetrain as an option on all variants. 50 series RAV4 GX hybrid will be in the high $30K or very early $40K range.,2018-Nov-12,whrl.pl/Rfgl39
individualist writes...152kw for a NA 2.5 litre engine is quite impressiveNot really. Lexus has had a NA 2.5L V6 producing 158kw/250Nm for many many years. Although this new 2.5L is probably more fuel efficient.,2018-Nov-12,whrl.pl/Rfgl5X
"Car looks good inside and out, even the base model has AEB, Lane guidance and Adaptive Cruise (something even the 'techy' Tesla Model 3 doesn't come with as standard)It would be nice if Toyota offered a BEV variant :( a Rav4 PHEV with like 50km real world electric range would be a seriously attractive buy",2018-Nov-12,whrl.pl/Rfgl6H
"Roger Scape writes...It would be nice if Toyota offered a BEV variant :( a Rav4 PHEV with like 50km real world electric range would be a seriously attractive buyToyota have basically said they won't do a plug in.  I rekon they are in it for the long game and going hydrogen. I tend to side with Toyota in terms of tech – when everyone went diesel mad they stuck to their hybrid guns because, well most people that are familiar with combustion would tell you it wasn't ever cleaner than petrol.",2018-Nov-13,whrl.pl/RfgmtV
Calvin_wp writes...when everyone went diesel mad they stuck to their hybrid gunsWhich is why there's a RAV4 diesel and diesel models across the range in Europe?,2018-Nov-13,whrl.pl/RfgmJp
Media embargo gets lifted on the 19th November :),2018-Nov-13,whrl.pl/RfgmJM
anyone know where these are being built?,2018-Nov-13,whrl.pl/RfgmKv
foresterbloke writes...Which is why there's a RAV4 diesel and diesel models across the range in Europe?It was a real half arsed effort. Toyota only applied it to their awd range. Unlike the euros who plastered diesels across their entire range.,2018-Nov-13,whrl.pl/RfgmKw
Calvin_wp writes...Toyota only applied it to their awd range.Corolla is a 4wd?,2018-Nov-13,whrl.pl/RfgmKG
DrMilan writes...anyone know where these are being built?Australian model will be sourced from Japan.,2018-Nov-13,whrl.pl/RfgmLa
"Calvin_wp writes...Toyota have basically said they won't do a plug inIt is unfortunate but I assume it's a mixture of cost and parts. The hybrids all use NiMH for a start, although some (maybe all?) Lexus hybrids use lithium plus the normal Hybrid motors aren't upto the task of extended fast higher speed use.The new Rav4 is imo still a very attractive buy for consumers, even without PHEV.",2018-Nov-13,whrl.pl/Rfgm1V
"Roger Scape writes...The new Rav4 is imo still a very attractive buy for consumers, even without PHEV.Yeah I really need a new car and this is the only one on he horizon that remotely interests me. Either that or they could do me a favor and bring the rolla wagon over.",2018-Nov-13,whrl.pl/Rfgm4t
Calvin_wp writes...they could do me a favor and bring the rolla wagon overI doubt TMCA will ever sell a Corolla wagon here again. You can always get a Corolla Fielder wagon. :),2018-Nov-13,whrl.pl/Rfgm8k
Hybrid seems to be the way to go with the price of fuel. Toytoas petrol fuel economy is terrible with the current rav4. Cant see that changing much.Hope the hybrid has a good trans and ill be sold,2018-Nov-13,whrl.pl/RfgnlR
Calvin_wp writes...Yeah I really need a new car and this is the only one on he horizon that remotely interests me.If you're interested because of the engine then the Forester should arrive with the same powertrain (not gearbox) next year.,2018-Nov-13,whrl.pl/RfgnF9
"foresterbloke writes...If you're interested because of the engine then the Forester should arrive with the same powertrain (not gearbox) next year.To be honest the XV hybrid is more what I'm after but I rekon it might be too far away, let alone waiting for a car that hasn't released specs yet.",2018-Nov-13,whrl.pl/RfgnGq
foresterbloke writes...Media embargo gets lifted on the 19th November :)Do they release pricing and release dates in Australia on this date as well? Can’t believe so much interest in new rav. I heard it may come in March – not sure I can wait that long ;(,2018-Nov-13,whrl.pl/Rfgofv
"lazza writes...Do they release pricing and release dates in Australia on this date as well?No. That info won't show up until around the ""wholesale"" date for dealers, which won't be until April or May next year.",2018-Nov-13,whrl.pl/Rfgogl
"PinzVidz writes...No. That info won't show up until around the ""wholesale"" date for dealers, which won't be until April or May next year.And by that point, may as well wait for the 2020 model!",2018-Nov-13,whrl.pl/RfgokD
Calvin_wp writes...To be honest the XV hybrid is more what I'm afterhttps://www.caradvice.com.au/702712/subaru-xv-phev-electric-range/,2018-Nov-14,whrl.pl/RfgoMl
"foresterbloke writes...https://www.caradvice.com.au/702712/subaru-xv-phev-electric-range/Yeah no performance specs aside from the EV range, no pric indications and more importantly no date for aus. The rav will get here a year earlier than xv which is too long for me to wait lol. Even the rav is killing me. I'm eyeing off current models which are not as good obviously but damn they are going for peanuts!",2018-Nov-14,whrl.pl/RfgoM0
Calvin_wp writes...The rav will get here a year earlier than xv which is too long for me to wait lol.I misread the article thinking it would launch later this year (we're in November! doh!).,2018-Nov-14,whrl.pl/RfgoNn
It’s a shame it appears that the Adventure grade does not come in hybrid,2018-Nov-14,whrl.pl/RfgoNB
I'm struggling here too – really need to know pricing to make a decision on Cx5 vs this one – I was so close to gettting a Kona EV when they came out but it's way too small (I sat in a kona petrol model as they're meant to be similiar) but don't know what i expected for a small SUV.Either way this RAV4  Hybrid is so hot and may be worth waiting 6 months.Anyone think it will be sub 50k AUD?,2018-Nov-14,whrl.pl/RfgoPN
DJSIEK writes...Anyone think it will be sub 50k AUDI'd gurantee it,2018-Nov-14,whrl.pl/Rfgo17
"DJSIEK writes...I'm struggling here too – really need to know pricing to make a decision on Cx5Are you cross shopping the cx5 with the rav hybrid? Hybrid will cost more for sure than a cx5 depending on which grade. If you are going for petrol, I'd still go for the rav. It has dual manifold and direct injection as opposed to the cx5 which presumably will only have direct injection.",2018-Nov-14,whrl.pl/Rfgo7E
"Yes I am putting the CX5 Akera against the Rav4 Hyrid. The cx5 akera on road is 48k. I should be able to get 10% of the RRP hopefully. Toyota dealers tho I have not bought a Toyota before so don't have an ""in"".This car is just gorgeous (rav4 2019). And i'm willing to wait until Q2 2019 for it..Safety wise tech – the Rav4 doesnt' seem to have the following available at all (happy to be corrected): Emergency Stop Signal (ESS) (Akera Standard)Driver Attention Alert (DAA) (Akera Standard)and based on the Toyota Safety 2.0 details page the following is additional cost but standard on Akera:Rear Cross Traffic Alert (RCTA) Standard 360 view monitor StandardBlind Spot Monitoring (BSM) StandardI really like the DAA feature ( don't worry i don't text and drive – I just like it for peace of mind)",2018-Nov-14,whrl.pl/RfgpkR
Roger Scape writes...I'd gurantee itthat is awesome. i assume you'll cover the difference. :)seriously tho I really hope so. 50k is a lot for a mid size – so you're probably right.,2018-Nov-14,whrl.pl/Rfgpk4
DJSIEK writes...Safety wise tech – the Rav4 doesnt' seem to have the following available at all (happy to be corrected):Emergency Stop Signal (ESS) (Akera Standard)Driver Attention Alert (DAA) (Akera Standard)Toyota Safety 2.0 has the following features:Automatic emergency braking with pedestrian detectionAdaptive cruise controlActive lane controlAutomatic high-beam headlightsBlind-spot monitors360 Surround-view cameraRear cross-traffic braking are optional,2018-Nov-14,whrl.pl/RfgpoN
yep. so ESS and DAA missing. Unless it's a default feature with the emergency braking...I did read 360 view was an additional cost yesterday. will post a link,2018-Nov-14,whrl.pl/RfgptY
DJSIEK writes...so ESS and DAA missingI assume DAA is the thing that beeps if ya fall asleep? What exactly is ESS?,2018-Nov-14,whrl.pl/Rfgpvp
DAA is driver attention alert http://www.mazda.com/en/innovation/technology/safety/active_safety/daa/ESS will strobe your brake lights and hazards if it detects impending accident or so more detail: http://www.mazda.com/en/innovation/technology/safety/active_safety/ess/I quite like them but am hoping for at least DAA on Rav4 but i doubt it will stop me from getting one over the cx5! :)Keen to get confirmation of 360 view on the rav4.  –  I can't find anyEDIT: Based on this video looks like it has a cameras at the front and a 360 view button! ...https://www.youtube.com/watch?v=T0NLyTBoDvQ,2018-Nov-14,whrl.pl/RfgpzO
"Im stuck between getting the vti-lx crv, current Mazda cx5 AKera, waiting for the turbo version of Mazda cx5 AKera which will come out early next month or waiting for the new RAV4 which is due in April.",2018-Nov-14,whrl.pl/RfgqM8
"If you are in no rush, I would definitely wait for the hybrid RAV4 to test outI’d be wary of touching a CRV due to the oil life monitor service schedule. Some owners are getting instruction to have a service at a 5000km interval",2018-Nov-15,whrl.pl/RfgqWj
Rav4 2019 is def Q2 right? Q1 would be lovely.,2018-Nov-15,whrl.pl/RfgqYP
yea i agree it would be awesome if q1. been waiting for a new car since September. hoping the hybrid version is around 50k mark then i would get it. anyone went to a dealer yet and book an appointment for a test drive when it arrives?,2018-Nov-15,whrl.pl/Rfgq0O
"i'm tempted to do so. My folks have a 4 year old carolla and i find the entertainment system really slow. Based on videos, newer T's entertainment system is fast.I need to find a good Toyota dealer in Melbourne!",2018-Nov-15,whrl.pl/Rfgq1B
Will the RAV4 have CarPlay,2018-Nov-15,whrl.pl/Rfgq2o
Linkyou writes...Will the RAV4 have CarPlayNothing confirmed but it would be a shock if it weren't.,2018-Nov-15,whrl.pl/Rfgq36
If it doesnt have android auto i sure hope the headunit is easy to replace,2018-Nov-15,whrl.pl/RfgraM
"Menco writes...If it doesnt have android auto i sure hope the headunit is easy to replaceNope. Tablet style screen, similar to new gen Corolla with lower shortened single DIN chassis.",2018-Nov-15,whrl.pl/Rfgrxv
Well might be RIP the rav4 me,2018-Nov-15,whrl.pl/RfgrXY
Toyota need to improve their game with:5 year warranty12 month service intervals / capped price serviceApple car play / android.It's on the tempting list.. will wait & see next year,2018-Nov-15,whrl.pl/RfgtnQ
steve289 writes...Toyota need to improve their game with:5 year warranty12 month service intervals / capped price serviceApple car play / android.Agree with that. For the price they're all must haves,2018-Nov-15,whrl.pl/Rfgt0V
"steve289 writes...Toyota need to improve their game with:5 year warrantyOnly a matter of time...12 month service intervalsAlready doing it with C-HR, 70 series Camry and 210 series Corolla.capped price serviceThey've only been doing it for 10-odd years now.Apple car play / android.ACP may happen with 50 series RAV4, who knows with AA.",2018-Nov-15,whrl.pl/Rfgt1f
"gbones writes...Im stuck between getting the vti-lx crv, current Mazda cx5 AKera, waiting for the turbo version of Mazda cx5 AKera which will come out early next month or waiting for the new RAV4 which is due in April.This is exactly what I’m going through! Although I’ve dropped the crv because the way they designed child seating fix points. How badly do we need turbo on the Mazda? Everyone keeps saying it’s hnderpowered but then the more power the more petrol!",2018-Nov-16,whrl.pl/Rfgvfb
Yea i found the car seats fixtures on the top funny but not a deal breaker. Everything else about the crv is really good. Just wish it came with 360 camera n i would be sold on the crv. Especially now with 7 yr warranty n road side assistance.,2018-Nov-16,whrl.pl/RfgvfV
Since they claim 3y warranty is all we need since their cars are so reliable tell the dealer to throw in 3y/150k km factory extended warranty for free and put their money where their mouth is. You probably wont get any discount anyways so they at least can do that.,2018-Nov-16,whrl.pl/RfgvhT
steve289 writes...Apple car play / android.The new upcoming Aurion/Avalon has this so it's likely other models will get it.,2018-Nov-16,whrl.pl/Rfgw2O
April 2019https://youtu.be/4Yk3OlHxS64,2018-Nov-16,whrl.pl/Rfgw6V
Roger Scape writes...The new upcoming Aurion/Avalon has this so it's likely other models will get it.We aint getting either,2018-Nov-17,whrl.pl/RfgxnM
DJSIEK writes...I really like the DAA feature ( don't worry i don't text and drive – I just like it for peace of mind)DAA is there to measure driver fatigue and only above 65km/h (so practically never in the urban setting)Toyota call it Sway Warning SystemESS is just the brake lights flashing if you brake so hard the ABS gets activated or it passes a set threshold. Once again only above 50km/hThese are hardly worth making a purchasing decision on.,2018-Nov-17,whrl.pl/RfgxnR
Thanks for explaining.Yeah it won't be the deciding factor. But daa would be great. Looks like they are likely to have that feature.Deciding factor for me will be price,2018-Nov-17,whrl.pl/RfgxtQ
prices should come out in the next 24 hours right?,2018-Nov-20,whrl.pl/RfgDtG
Us price and hybrid rated combined at 39mpg = 6l/100km.https://www.forbes.com/sites/doronlevin/2018/11/19/2019-toyota-rav4-takes-spotlight-as-japanese-automakers-top-seller-and-new-show-horse-in-u-s/,2018-Nov-20,whrl.pl/RfgFd4
Review just came out on Drive a few minutes ago:https://www.drive.com.au/new-car-reviews/toyota-rav4-2019-first-drive-international-review-120093,2018-Nov-20,whrl.pl/RfgFi3
Wonder if the 2.5 will actually achieve 8.1l/100km. Id say more up in the 9s real world. The 8 speed might help,2018-Nov-20,whrl.pl/RfgFlr
DJSIEK writes...prices should come out in the next 24 hours right?Doesn’t look like it – may not know until q2 next year – sigh,2018-Nov-21,whrl.pl/RfgFtb
why do you think that? (I don't disbelieve you just curious).,2018-Nov-21,whrl.pl/RfgGfg
lazza writes...Doesn’t look like it – may not know until q2 next year – sighYou'll find out close to release date,2018-Nov-21,whrl.pl/RfgGna
steve289 writes...Apple car play / android.Not happening –No CarPlay or Android for Ozhttps://www.caradvice.com.au/702052/2019-toyota-rav4-review/,2018-Nov-21,whrl.pl/RfgGBy
"From early reviews, might not be worth getting it compared to what you can get with a crv or cx5",2018-Nov-21,whrl.pl/RfgGYg
Rav 4 hybrid test..USAhttps://youtu.be/HgeSqIomrDI,2018-Nov-21,whrl.pl/RfgHen
"gbones writes...From early reviews, might not be worth getting it compared to what you can get with a crv or cx5I wasn’t that impressed either – but what makes you say that?",2018-Nov-22,whrl.pl/RfgH1E
"gosh I hope that is not finaledit: ""would not be available locally for the time being.""https://www.carsguide.com.au/car-news/toyota-to-add-android-auto-joining-apple-carplay-but-not-for-australia-yet-71124",2018-Nov-22,whrl.pl/RfgH8M
Driven – https://www.caradvice.com.au/702052/2019-toyota-rav4-review/,2018-Nov-22,whrl.pl/RfgIpO
"fuel usage on the hybrid is not what i was hoping for, reviews suggesting between 7-9l/100km so far.  Perhaps i was unrealistic.  The new cx-5 might be similar efficiency.",2018-Nov-22,whrl.pl/RfgIro
"DaveyJones writes...fuel usage on the hybrid is not what i was hoping for, reviews suggesting between 7-9l/100km so far.  Perhaps i was unrealistic.  The new cx-5 might be similar efficiency.yeah i was thinking 5s rather than 7-9.",2018-Nov-23,whrl.pl/RfgMkh
2019 CRV 1.5T AWD  combined 29mpgCX5 2.5L AWD  combined 26mpg2019 Rav4 2.5L AWD combined 29mpgRAV4 Hybrid AWD combined 39mpg2019 CX5 Turbo Petrol – 24 combined.The Buick Regal 2L turbo (aka Holden Commodore 2L turbo) gets 26 mpg combined. The CX5 has poor economy,2018-Nov-24,whrl.pl/RfgMEq
"^ Richard, where do those figures come from, they look backwards...RAV4hyrid using more fuel than the 2.5L?  CX5 Turbo uses less fuel at 24?",2018-Nov-24,whrl.pl/RfgMVD
"DaveyJones writes...they look backwardsNot backwards, just imperial/US fuel consumption measurementIn the Metric standard, the lower the L/100, the more efficient.In imperial/US measurements the higher the Miles per gallon, the more efficient.RAV4hyrid using more fuel than the 2.5L?The hybrid uses a good percentage less than the 2.5L. By Richard's figures the hybrid will get 10 miles more per gallon; almost 30% greater distance!Richard can confirm but I suspect these are US fuel consumption figures. The US gallon is smaller than an Imperial gallon. The conversion is approx. 1 Imp gal equals 1.2 US gal.",2018-Nov-24,whrl.pl/RfgMXf
Crazy to read the camry got drive car of the year. Yet the rav4 sounds like its  far from the market leader. Interesting to see what the local reviews think when it actually arrives,2018-Nov-24,whrl.pl/RfgMXw
"DaveyJones writes...^ Richard, where do those figures come from, they look backwards...RAV4hyrid using more fuel than the 2.5L?  CX5 Turbo uses less fuel at 24?mpg = mile per gallon = higher is betterL/100km = litres per 100km = lower is better.Fuel consumption is overrated between competitors inthis class anyway. If you really wanted decent feul economy, you'd look at a smaller car or a wagon.",2018-Nov-24,whrl.pl/RfgMZ2
"aha!   thanks  BeigeJet and Calvin.  Golf scores for mpg – makes sense now that you have said it!   So the rav4 gives pretty good improvements on fuel usage compared with cx-5.im so torn between wanting power (having a car which struggles to carry a load up hills with passengers, or AC on) and fuel efficiency, but ill have to choose fuel efficiency for practical reasons.  hybrid turbo?",2018-Nov-24,whrl.pl/RfgM0F
"BeigeJet writes...Richard can confirm but I suspect these are US fuel consumption figures. The US gallon is smaller than an Imperial gallon. The conversion is approx. 1 Imp gal equals 1.2 US gal.Correct , from the US release of the rav4",2018-Nov-24,whrl.pl/RfgOaH
"BeigeJet writes...Richard can confirm but I suspect these are US fuel consumption figures. The US gallon is smaller than an Imperial gallon. The conversion is approx. 1 Imp gal equals 1.2 US gal.Yep,US Gallon is around 4 Litres,at least that was the figure we used when converting MPG Stats.",2018-Nov-25,whrl.pl/RfgOyN
Im not sure this is worth waiting for over the current Subaru Forester...,2018-Nov-26,whrl.pl/RfgRwY
The new Forester came last in this comparisonhttps://www.caradvice.com.au/692026/2018-medium-suv-mega-test-honda-cr-v-hyundai-tucson-kia-sportage-mazda-cx-5-subaru-forester/,2018-Nov-26,whrl.pl/RfgRJx
Bellview writes...The new Forester came last in this comparisonIf only Honda gave theirs a good gearbox,2018-Nov-26,whrl.pl/RfgRLT
so the camry hybrid gets 52 MPG looks like the Rav 4 will use quite a bit more petrol.,2018-Nov-27,whrl.pl/RfgTQO
Any word on hybrid pricing yet?,2018-Dec-8,whrl.pl/RfhiEl
The Limited Hybrid will be low to mid 50s according to a dealer I spoke to. I was really keen on purchasing the XSE Hybrid but I’m not sure it’ll even be available in Aus :(,2018-Dec-8,whrl.pl/RfhiGm
Certification details up on RVCS.,2018-Dec-13,whrl.pl/RfhrVg
PinzVidz writes...Certification details up on RVCS.I thought that was a MySpace page!,2018-Dec-13,whrl.pl/RfhrVo
"foresterbloke writes...I thought that was a MySpace page!Haha, it is after all an Au Gov site.I just noticed on that link I posted, the tow rating for the hybrid will be 480kg.Edit: that's for the FWD hybrid.",2018-Dec-13,whrl.pl/RfhrZP
looks like the hybrid awd gets 1500kg braked towing.,2018-Dec-13,whrl.pl/Rfhr1I
"Gmore writes...looks like the hybrid awd gets 1500kg braked towing.Oh I didn't pick up on that, even better.",2018-Dec-13,whrl.pl/Rfhr4y
Not seeing the power figures the USA market rav 4 gets. Are we getting the old 2.5l engine like the Aus delivery Camry?,2018-Dec-13,whrl.pl/Rfhr9x
"richardJF writes...Not seeing the power figures the USA market rav 4 gets.Are we getting the old 2.5l engine like the Aus delivery Camry?Definitely the new A25A, see here.",2018-Dec-13,whrl.pl/Rfhtd8
really hoping they include Apple CarPlay. Any update why it would be available for US but not Aus for launch?,2019-Feb-1,whrl.pl/Rfi9k2
seems like it'll be released mid year in June. Spoke to Sydney City Dealer.,2019-Feb-3,whrl.pl/RfjbH3
"kent writes...seems like it'll be released mid year in June. Spoke to Sydney City Dealer.Will be wholesaled to dealers April, available for sale late April/early May.",2019-Feb-3,whrl.pl/Rfjb90
When does that mean we can start negotiating on pricing?,2019-Feb-4,whrl.pl/Rfjdxe
kent writes...When does that mean we can start negotiating on pricing?Yes you can start to negotiate on the price. The amount of discount you get will depend on many factors like:- Model you are after- Stock being made available to the dealers- Reviews this Rav4 gets from local media like caradvice- Discounting on the runout Rav4 etc,2019-Feb-5,whrl.pl/RfjfG1
Pressroom release today with a little more info on variants and features.,2019-Feb-5,whrl.pl/Rfjgxe
I would like to buy a Rav4 as soon as it becomes to the market. Is there any strategy I would follow to get a good price?,2019-Feb-7,whrl.pl/Rfjkx2
Shame Toyota didn't offer their 3.5L V6 as an option..,2019-Feb-7,whrl.pl/RfjkyA
"Manual in the base, 8 speed auto in the Edge otherwise it's rubber bands.......(albeit with a real first gear to lessen the rubber band feel). Seems everywhere else at least gets a choice of 8 speed auto in the non-hybrids. And all the 'safety', oh well I guess Aust. has been chosen, with it's insouciant population and wide open spaces, as being at the cutting edge of driverless techs.Pricing and optional accessories will be interesting to see.",2019-Feb-7,whrl.pl/RfjkEO
"Carsales mentioned that pricing starts from $31k, so it would be the same as current Rav4 price.Also with 5 yrs warranty. That's cool.",2019-Feb-7,whrl.pl/RfjkOv
Am I the only person who think this new look model is ugly??Looks like an Outback that's been squashed....,2019-Feb-21,whrl.pl/RfjPgv
chris_h_11 writes...Am I the only person who think this new look model is ugly??Yes,2019-Feb-21,whrl.pl/RfjPYY
Kilavan writes...Is there any strategy I would follow to get a good price?Yeah there are a few different things that can help:Time you buyStock dealer hasMarket demandYour own negotiation skillsHappy to share negotiation tips if it helps in getting a good deal.,2019-Feb-21,whrl.pl/RfjP2T
better to wait for 2019 rav 4 or 2018 rav 4 sale?,2019-Feb-23,whrl.pl/RfjTMy
#Tonez writes...better to wait for 2019 rav 4 or 2018 rav 4 sale?Which spec do you want?,2019-Feb-23,whrl.pl/RfjTWJ
#Tonez writes...better to wait for 2019 rav 4 or 2018 rav 4 sale?Money talks.Uncle managed $30k for a gx. That's getting really low to be enticing.,2019-Feb-25,whrl.pl/RfjYaN
NZ spec 2019 RAV4 (still unconfirmed)http://i.imgur.com/KhsweKG.jpgMay have some features we can expect on our models. Hearing the panoramic roof will only be available in the Edge?Anyway we shall see in a couple of weeks when official specifications are released.,2019-Mar-1,whrl.pl/Rfj8my
